path_or_scope	kind	milestone_7_action	precondition
npa-core/docs/let-removal-milestone-1/v0.8-baseline-command-results.md	raw_v0.8_instruction	delete_after_copying_only_non_executable_commit_checksum_and_verdict_summary_to_v0.9_release_note	v0.9_release_note_summary_reviewed
npa-core/docs/let-removal-milestone-1/generate-canonical-tag-ledger.sh	temporary_audit_helper	delete_after_every_bump_and_retention_is_enforced_and_final_current_tree_scan_has_no_unclassified_identity	m3_through_m6_identity_tests_pass
npa-core/docs/let-removal-milestone-1/canonical-identity-inventory.txt	raw_helper_output	delete_with_generator_after_final_current_tree_inventory_is_recorded_non_executably	m7_final_identity_scan_passes
npa-core/docs/let-removal-milestone-1/advanced-ai-encoder-callers.tsv	raw_trace_output	delete_after_all_listed_removed_calls_and_owner_domain_bumps_are asserted	m2_and_m3_advanced_ai_tests_pass
npa-core/docs/let-removal-milestone-1/canonical-tag-disposition.tsv	migration_disposition_ledger	delete_after_all_rows_are_consumed_by_implementation_tests_or_confirmed_unrelated_and_release_summary_records_counts	m7_disposition_audit_has_zero_open_rows
npa-core/docs/let-removal-milestone-1/SHA256SUMS	evidence_checksum_manifest	delete_or_regenerate_to_cover_only_files_retained_after_the_migration_raw_files_are_removed	all_other_m1_deletion_rows_complete
npa-core/docs/let-removal-milestone-1/milestone-7-deletion-ledger.tsv	self_registering_cleanup_ledger	delete_after_all_rows_are_completed_and_the_v0.9_release_note_records_the_cleanup_result	post_publication_external_cleanup_verified
npa-core/docs/let-removal-milestone-1/README.md	migration_evidence_index	remove_links_to_deleted_raw_files_and_retain_only_a_non_executable_outcome_summary_or_delete_the_index	all_m1_raw_files_removed
npa-core/docs/let-removal-milestone-0/source-free-v0.3-bundle-sha256.txt	raw_v0.8_bundle_manifest	delete_after_non_executable_selected_input_checksums_are_in_v0.9_release_note	v0.9_release_note_summary_reviewed
npa-core/docs/let-removal-milestone-0/v0.3-direct-input-sha256.txt	raw_v0.8_bundle_manifest	delete_after_non_executable_selected_input_checksums_are_in_v0.9_release_note	v0.9_release_note_summary_reviewed
npa-core/docs/let-removal-milestone-0/v0.3-fast-verdict.json	raw_v0.8_checker_result	delete_after_pass_outcome_and_checker_identity_are_in_v0.9_release_note	v0.9_release_note_summary_reviewed
npa-core/docs/let-removal-milestone-0/v0.3-reference-cli-verdict.json	raw_v0.8_checker_result	delete_after_pass_outcome_and_checker_identity_are_in_v0.9_release_note	v0.9_release_note_summary_reviewed
npa-core/docs/let-removal-milestone-0/v0.3-reference-binary-verdict.json	raw_v0.8_checker_result	delete_after_checked_outcome_hashes_and_checker_identity_are_in_v0.9_release_note	v0.9_release_note_summary_reviewed
npa-core/docs/let-removal-milestone-0/v0.3-ocaml-verdict.json	raw_v0.8_checker_result	delete_after_checked_outcome_hashes_and_checker_identity_are_in_v0.9_release_note	v0.9_release_note_summary_reviewed
npa-core/docs/let-removal-milestone-0/npa-mathlib-index-check.json	raw_v0.8_command_result	delete_after_index_pass_outcome_is_in_v0.9_release_note	v0.9_release_note_summary_reviewed
npa-core/docs/let-removal-milestone-0/SHA256SUMS	evidence_checksum_manifest	regenerate_after_deleting_raw_m0_results_and_manifests	all_m0_raw_rows_deleted
npa-core/docs/let-removal-milestone-0/README.md	migration_evidence_index	remove_links_to_deleted_raw_results_and_manifests_and_retain_only_non_executable_identity_verdict_and_inventory_summary	all_m0_raw_rows_deleted
npa-core/docs/let-removal-milestone-0/retired-toolchain-entrypoints.tsv	inherited_complete_toolchain_cleanup_ledger	execute_every_row_for_v0.7_and_v0.8_then_remove_or_archive_the_fully_closed_ledger_without_runnable_instructions	v0.9_release_candidate_gates_pass
npa-core/docs/npa-toolchain-reference-v0.7.0.md	retired_user_instruction	delete	v0.9_self_contained_reference_exists
npa-core/checkers/npa-checker-ext/scripts/toolchain-v0.7.sh	retired_executable_helper	delete	v0.9_checker_lane_passes
npa-core/crates/npa-cli/examples/verify_ext_v0_7_facade.rs	retired_executable_helper	delete	v0.9_checker_lane_passes
npa-core/crates/npa-cli/examples/inspect_ext_v0_7_policy.rs	retired_executable_helper	delete	v0.9_checker_lane_passes
npa-core/docs/npa-toolchain-reference-v0.8.0.md	temporary_user_instruction	delete	one_time_baseline_summarized_and_v0.9_reference_exists
npa-core/checkers/npa-checker-ext/scripts/toolchain-v0.8.sh	temporary_executable_helper	delete	v0.9_checker_lane_passes
npa-core/crates/npa-cli/examples/verify_ext_v0_8_facade.rs	temporary_executable_helper	delete	v0.9_checker_lane_passes
npa-core/crates/npa-cli/examples/inspect_ext_v0_8_policy.rs	temporary_executable_helper	delete	v0.9_checker_lane_passes
all_current_docs_agent_guidance_tests_fixtures_and_allowlists_listed_in_npa-core/docs/let-removal-milestone-0/retired-toolchain-entrypoints.tsv	shared_retired_instruction_or_compatibility_support	apply_each_recorded_delete_replace_or_version_neutral_rewrite_action_and_verify_content_and_filename_scans	v0.9_release_candidate_gates_pass
standalone_refs_tags_v0.7.0_and_v0.8.0_plus_matching_hosted_releases_and_assets_if_present	external_retired_release_identity	re_resolve_exact_ids_stop_on_drift_delete_only_after_verified_v0.9_publication_then_verify_absence	v0.9_tag_release_and_assets_independently_verified
