path	version_axis	disposition
docs/README.md	npa-cli consumer pin	Update the current adjacent dependency contract from 0.8 to 0.9.
docs/core/certificate-term-dag-materialization-design.md	performance measurement schema	Retain reviewed v0.7 measurement-schema history; it is not a CLI/toolchain version.
docs/core/kernel-whnf-application-spine-machine-design.md	mixed measurement and host chronology	Retain measurement-schema history; rewrite the v0.8 host gate version-neutrally.
docs/core/kernel-whnf-defeq-ephemeral-memoization-design.md	performance measurement schema	Retain reviewed v0.7 measurement-schema history.
docs/core/package-certificate-artifact-snapshot-design-tasks.md	performance measurement schema	Retain reviewed v0.7 measurement-schema history.
docs/core/package-certificate-artifact-snapshot-design.md	performance measurement schema	Retain reviewed v0.7 measurement-schema history.
docs/core/package-changed-selection-git-query-design.md	performance measurement schema	Retain reviewed v0.7 measurement-schema history.
docs/core/package-fast-verifier-cost-aware-sharding-design.md	performance measurement schema	Retain reviewed v0.7 measurement-schema history.
docs/core/package-verifier-process-memo-execution-scope-design.md	performance measurement schema	Retain reviewed v0.7 measurement-schema history.
docs/core/proof-authoring-verified-context-cache-design.md	npa-cli host chronology	Rewrite the v0.8 host command version-neutrally; current instructions move to v0.9.
docs/core/targeted-build-certs-authoring-cache-performance-evidence.md	percentage measurement	Retain the unrelated 0.8 percent observation.
docs/flt/int-019-fourth-power-canonical-leaf-proof-tasks.md	npa-cli host chronology	Rewrite recorded v0.8 writer commands version-neutrally.
docs/flt/proof-roadmap.md	npa-cli host chronology	Rewrite recorded v0.8 writer attempts version-neutrally while preserving outcomes.
docs/iut/shared-contract.md	npa-cli current operational contract	Advance the runnable current contract to v0.9.
npa-agents/Cargo.lock	third-party crate versions	Retain unrelated 0.7/0.8 dependency pins unless normal dependency resolution changes them.
npa-agents/apps/agentctl/tests/fixtures/open_problem/proof_difficulty/lemma_reuse_graph.json	mathematical score	Retain the unrelated 0.8 centrality score.
npa-agents/crates/agent-store/Cargo.toml	third-party crate version	Retain the unrelated sqlx 0.8 dependency constraint.
