path	matched_axis	final_disposition	owner_milestone
.agents/skills/prove-theorem/SKILL.md	v0.8	Replace operational v0.8 commands and links with the v0.9 source-free workflow; retain no old runnable lane.	M6/M7
.agents/skills/prove-theorem/references/kernel-fuel-debugging.md	v0.8	Replace the v0.8 command and reference link with v0.9 wording and gates.	M6/M7
docs/core/certificate-term-dag-materialization-design-tasks.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally; preserve unrelated measurement-schema history.	M7
docs/core/kernel-fuel-hotspot-diagnostics-design-todo.md	v0.7+v0.8	Rewrite completed host release chronology version-neutrally and remove live links to retired references.	M7
docs/core/kernel-fuel-hotspot-diagnostics-design.md	v0.7+v0.8	Rewrite completed host release chronology version-neutrally and remove live links to retired references.	M7
docs/core/kernel-fuel-hotspot-diagnostics-rollout-evidence.md	v0.8	Rewrite the historical host identity version-neutrally; preserve non-runnable result facts.	M7
docs/core/kernel-whnf-application-spine-machine-design-tasks.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally.	M7
docs/core/npa-checker-ref-unknown-reference-diagnostics-design.md	v0.7	Rewrite completed host-toolchain chronology version-neutrally.	M7
docs/core/opaque-definition-surface-design-todo.md	v0.7	Rewrite completed host-toolchain chronology version-neutrally.	M7
docs/core/package-artifact-ledger-direct-import-alignment-design.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally.	M7
docs/core/package-changed-selection-git-query-design-tasks.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally; preserve distinct measurement versions.	M7
docs/core/package-export-output-path-validation-design.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally.	M7
docs/core/package-verifier-process-memo-execution-scope-design-tasks.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally; preserve distinct measurement versions.	M7
docs/core/package-verify-certs-committed-branch-selection-design.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally.	M7
docs/core/proof-authoring-performance-observability-design.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally; preserve distinct measurement versions.	M7
docs/core/reference-checker-deterministic-parallel-verification-design.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally.	M7
docs/core/targeted-build-certs-authoring-cache-design-todo.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally; preserve distinct measurement versions.	M7
docs/core/targeted-build-certs-authoring-cache-design.md	v0.8	Rewrite completed host-toolchain chronology version-neutrally; preserve distinct measurement versions.	M7
